epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47035,501706.6666666667,-734700.1248972062,1417404433,1410920626.8751028
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47636,508117.3333333333,262987.3053142508,1417404433,1413794868.3053143
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47419,505802.6666666667,106713.6446664741,1417404433,1413009018.6446664
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48160,513706.6666666667,-370656.49986252404,1417404433,1414456883.5001376
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48200,514133.3333333333,326010.36716774036,1417404433,1415239985.3671677
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47789,509749.3333333333,1765785.87275445,1417404433,1415708706.8727543
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48138,513472.0,241338.58836911,1417404433,1415020568.5883691
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47359,505162.6666666667,-68523.21579813899,1417404433,1412650304.7842019
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,49152,524288.0,-15801.97203399977,1417404433,1416448612.027966
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47941,511370.6666666667,-4956.080818699252,1417404433,1414318726.9191813
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47936,511317.3333333333,-161623.40297458676,1417404433,1414149950.5970254
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47874,510656.0,-315384.0314448233,1417404433,1413844064.9685552
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47287,504394.6666666667,1319.9805285701998,1417404433,1412493746.9805286
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48000,512000.0,239582.78162265386,1417404433,1414704380.7816226
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47689,508682.6666666667,-13209.48814246526,1417404433,1413664046.5118575
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47098,502378.6666666667,-98262.83064140496,1417404433,1411772524.1693585
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48240,514560.0,-236812.75780569093,1417404433,1414762007.2421944
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47611,507850.6666666667,-80717.77447221086,1417404433,1413381502.2255278
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,46975,501066.6666666667,-528199.171528484,1417404433,1410918205.8284714
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47359,505162.6666666667,365506.5659592193,1417404433,1413084334.5659592
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47841,510304.0,476093.64993433096,1417404433,1414552514.6499343
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47568,507392.0,-1826573.0975354784,1417404433,1411513835.9024646
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47482,506474.6666666667,143962.60025008378,1417404433,1413234458.60025
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47817,510048.0,-50122.536224043855,1417404433,1413965144.4637759
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48138,513472.0,-183532.28872992028,1417404433,1414595697.71127
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47872,510634.6666666667,193790.38530727415,1417404433,1414348248.3853073
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47778,509632.0,384202.4436392253,1417404433,1414298457.4436393
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48128,513365.3333333333,-93973.84274596734,1417404433,1414663220.157254
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,48132,513408.0,-849986.8298161087,1417404433,1413916031.170184
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47757,509408.0,-1105522.672098027,1417404433,1412753603.327902
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47517,506848.0,-1033590.2706618691,1417404433,1412159620.7293382
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,46975,501066.6666666667,178485.14802884744,1417404433,1411624890.1480289
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47690,508693.3333333333,-1640893.952387157,1417404433,1412039074.047613
0.25,0.1,2820.282493097334,55500,0,2147483647,52679.71750690266,47295,504480.0,-667021.2259204941,1417404433,1411850768.7740796
