epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49200,131200.0,397600.33213543595,1417404433,1416915717.3321354
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49174,131130.66666666666,-155260.70715757864,1417404433,1416334005.2928424
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49160,131093.33333333334,284938.2335453739,1417404433,1416758432.2335453
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49113,130968.0,7430.979020051521,1417404433,1416426712.97902
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49158,131088.0,41107.180230241545,1417404433,1416512335.1802301
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49155,131080.0,144453.86371175,1417404433,1416612276.8637118
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49023,130728.0,32100.55621088838,1417404433,1416341790.556211
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49281,131416.0,-272645.9581981741,1417404433,1416330919.041802
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49196,131189.33333333334,-444.34278802520595,1417404433,1416513275.657212
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49208,131221.33333333334,243256.8584322805,1417404433,1416770141.8584323
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49066,130842.66666666667,36410.26587034764,1417404433,1416399324.2658703
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49128,131008.0,-228060.07343127712,1417404433,1416208759.9265687
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49097,130925.33333333333,-99600.83798255448,1417404433,1416300715.1620173
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48991,130642.66666666667,72233.8031214219,1417404433,1416341276.8031213
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49039,130770.66666666667,280452.80874196376,1417404433,1416610100.808742
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49103,130941.33333333333,36075.136233467165,1417404433,1416443535.1362336
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49161,131096.0,303677.27423815266,1417404433,1416778304.274238
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49146,131056.0,5013.550574770182,1417404433,1416462585.5505748
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49152,131072.0,-53437.56952427629,1417404433,1416410976.4304757
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48895,130386.66666666667,-32121.120316032244,1417404433,1416108644.879684
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49023,130728.0,-29728.416379958035,1417404433,1416279961.58362
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49117,130978.66666666667,-99221.90736664443,1417404433,1416324762.0926332
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49221,131256.0,72412.22987190822,1417404433,1416613394.229872
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49072,130858.66666666667,23515.70151108868,1417404433,1416393741.7015111
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49232,131285.33333333334,-8755.268623311198,1417404433,1416543970.7313766
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48870,130320.0,-30062.38506381576,1417404433,1416075556.614936
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49129,131010.66666666667,24212.153674420682,1417404433,1416462193.1536744
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49023,130728.0,56086.855889619605,1417404433,1416365776.8558896
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49210,131226.66666666666,-11367.80975882355,1417404433,1416517696.190241
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49142,131045.33333333333,77357.25048352174,1417404433,1416530342.2504835
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49123,130994.66666666667,-83393.21045471673,1417404433,1416347608.7895453
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49184,131157.33333333334,-149277.60066753358,1417404433,1416351154.3993325
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49094,130917.33333333333,19610.728465202545,1417404433,1416416348.7284653
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49123,130994.66666666667,514063.1455301301,1417404433,1416945065.1455302
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49664,132437.33333333334,85054.05947941491,1417404433,1417013397.0594795
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49124,130997.33333333333,-209.30535695654123,1417404433,1416431958.694643
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49188,131168.0,-106416.52433042497,1417404433,1416398467.4756696
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49220,131253.33333333334,114550.79677749476,1417404433,1416654453.7967775
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48999,130664.0,139303.19743864227,1417404433,1416418615.1974387
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49078,130874.66666666667,-15123.264556420356,1417404433,1416362392.7354436
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49059,130824.0,13122.421873600091,1417404433,1416367477.4218736
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49207,131218.66666666666,15226.380104884109,1417404433,1416541018.3801048
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49138,131034.66666666667,-144484.3375948977,1417404433,1416303904.662405
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49019,130717.33333333333,82449.76523268747,1417404433,1416387112.7652328
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49408,131754.66666666666,294196.95988506044,1417404433,1417019253.9598851
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49046,130789.33333333333,94379.24537473478,1417404433,1416432716.2453747
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48895,130386.66666666667,17204.346595089948,1417404433,1416157970.346595
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49280,131413.33333333334,54045.793975922665,1417404433,1416656591.7939758
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49112,130965.33333333333,-108833.7274114806,1417404433,1416309271.2725885
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49480,131946.66666666666,-252087.73743135933,1417404433,1416535643.2625687
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48954,130544.0,51805.15769463122,1417404433,1416272697.1576946
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49097,130925.33333333333,-48589.45057835502,1417404433,1416351726.5494215
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49281,131416.0,14299.630150089482,1417404433,1416617864.63015
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49106,130949.33333333333,88529.256495166,1417404433,1416499546.2564952
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49121,130989.33333333333,-547461.5740199919,1417404433,1415881205.42598
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,48895,130386.66666666667,14249.405484909686,1417404433,1416155015.405485
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49193,131181.33333333334,-389087.359635134,1417404433,1416121329.640365
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49216,131242.66666666666,-221863.12275963096,1417404433,1416313713.8772404
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49152,131072.0,9739.181743687652,1417404433,1416474153.1817436
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49117,130978.66666666667,31309.455171699476,1417404433,1416455293.4551716
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49069,130850.66666666667,49396.59274828563,1417404433,1416415968.5927484
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49100,130933.33333333333,589510.037029253,1417404433,1416993402.0370293
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49156,131082.66666666666,84634.37394065077,1417404433,1416553593.3739407
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49352,131605.33333333334,-43462.51529102431,1417404433,1416629981.484709
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49069,130850.66666666667,-175196.08403107175,1417404433,1416191375.915969
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49104,130944.0,166285.37118248313,1417404433,1416574932.3711824
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49218,131248.0,-177217.9315244071,1417404433,1416360523.0684755
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49099,130930.66666666667,-332705.85305564885,1417404433,1416069994.1469443
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49081,130882.66666666667,-28998.57343407868,1417404433,1416352144.426566
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49061,130829.33333333333,83202.75932833075,1417404433,1416440003.7593284
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49087,130898.66666666667,108350.81320062351,1417404433,1416496718.8132007
1,0.001,1282.3160430658313,55500,0,2147483647,54217.68395693417,49176,131136.0,-58761.08883223725,1417404433,1416432740.9111679
