epsilon,n,min_val,max_val,b,noise,actual_sum,estimated_sum
2,55500,0,2147483647,1073741823.5,-1626881043.8398595,1417404433,-209476610.8398595
2,55500,0,2147483647,1073741823.5,-427416478.5809688,1417404433,989987954.4190311
2,55500,0,2147483647,1073741823.5,-906324054.1973314,1417404433,511080378.8026686
2,55500,0,2147483647,1073741823.5,2536237513.950817,1417404433,3953641946.950817
2,55500,0,2147483647,1073741823.5,-858261968.5128802,1417404433,559142464.4871198
2,55500,0,2147483647,1073741823.5,592806620.4264152,1417404433,2010211053.4264152
2,55500,0,2147483647,1073741823.5,350742917.55775744,1417404433,1768147350.5577574
2,55500,0,2147483647,1073741823.5,-769595491.0358953,1417404433,647808941.9641047
2,55500,0,2147483647,1073741823.5,-95303078.36847956,1417404433,1322101354.6315205
2,55500,0,2147483647,1073741823.5,-1223095467.3982706,1417404433,194308965.6017294
2,55500,0,2147483647,1073741823.5,1497468668.9186008,1417404433,2914873101.918601
2,55500,0,2147483647,1073741823.5,-42923955.99944316,1417404433,1374480477.000557
2,55500,0,2147483647,1073741823.5,1002233349.9016852,1417404433,2419637782.901685
2,55500,0,2147483647,1073741823.5,2811674457.697013,1417404433,4229078890.697013
2,55500,0,2147483647,1073741823.5,2025304289.6619096,1417404433,3442708722.6619096
2,55500,0,2147483647,1073741823.5,-19746150.95936001,1417404433,1397658282.0406399
2,55500,0,2147483647,1073741823.5,229819293.81824183,1417404433,1647223726.8182418
2,55500,0,2147483647,1073741823.5,9603765.879423723,1417404433,1427008198.8794236
2,55500,0,2147483647,1073741823.5,-55145732.173324674,1417404433,1362258700.8266754
2,55500,0,2147483647,1073741823.5,-875962470.3178254,1417404433,541441962.6821746
2,55500,0,2147483647,1073741823.5,910456080.0231861,1417404433,2327860513.023186
2,55500,0,2147483647,1073741823.5,1244290620.363455,1417404433,2661695053.363455
2,55500,0,2147483647,1073741823.5,-140106926.61103284,1417404433,1277297506.388967
2,55500,0,2147483647,1073741823.5,97069449.1662167,1417404433,1514473882.1662166
2,55500,0,2147483647,1073741823.5,1431287501.364548,1417404433,2848691934.3645477
2,55500,0,2147483647,1073741823.5,-511202270.6660461,1417404433,906202162.3339539
2,55500,0,2147483647,1073741823.5,-3319675514.7902102,1417404433,-1902271081.7902102
2,55500,0,2147483647,1073741823.5,123834772.73636922,1417404433,1541239205.7363691
2,55500,0,2147483647,1073741823.5,1192625201.668473,1417404433,2610029634.6684732
2,55500,0,2147483647,1073741823.5,-1207050920.5956492,1417404433,210353512.40435076
2,55500,0,2147483647,1073741823.5,-3589347379.064708,1417404433,-2171942946.064708
2,55500,0,2147483647,1073741823.5,-3777336425.8538136,1417404433,-2359931992.8538136
2,55500,0,2147483647,1073741823.5,-745441080.4193311,1417404433,671963352.5806689
2,55500,0,2147483647,1073741823.5,453736765.54625034,1417404433,1871141198.5462503
2,55500,0,2147483647,1073741823.5,-985924769.1146208,1417404433,431479663.8853792
2,55500,0,2147483647,1073741823.5,1888739108.095178,1417404433,3306143541.0951777
2,55500,0,2147483647,1073741823.5,-1084073517.393664,1417404433,333330915.6063361
2,55500,0,2147483647,1073741823.5,3881595061.678726,1417404433,5298999494.678726
2,55500,0,2147483647,1073741823.5,2246646637.0343127,1417404433,3664051070.0343127
2,55500,0,2147483647,1073741823.5,-142908894.14340997,1417404433,1274495538.85659
2,55500,0,2147483647,1073741823.5,1547788672.749072,1417404433,2965193105.749072
2,55500,0,2147483647,1073741823.5,102739428.09454052,1417404433,1520143861.0945406
