epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.1,0.1,7050.706232743333,6699,0,2147483647,1,24220,645866.6666666666,1465841.1065660066,772575337.0,163620720.106566
0.1,0.1,7050.706232743333,6699,0,2147483647,1,4928,131413.3333333333,-92686.53146288767,772575337.0,32902252.46853711
0.1,0.1,7050.706232743333,6699,0,2147483647,1,38477,1026053.3333333331,106766.69850977052,772575337.0,254002317.69850978
0.1,0.1,7050.706232743333,6699,0,2147483647,1,31307,834853.3333333333,1940677.6965969172,772575337.0,210417271.69659692
0.1,0.1,7050.706232743333,6699,0,2147483647,1,27186,724959.9999999999,-702921.5185839435,772575337.0,180978265.48141605
0.1,0.1,7050.706232743333,6699,0,2147483647,1,18662,497653.33333333326,-61981.5085191848,772575337.0,124882087.49148081
0.1,0.1,7050.706232743333,6699,0,2147483647,1,34316,915093.3333333333,-706109.5005548422,772575337.0,227076533.49944517
0.1,0.1,7050.706232743333,6699,0,2147483647,1,24340,649066.6666666666,-387839.3148494249,772575337.0,162570439.68515056
0.1,0.1,7050.706232743333,6699,0,2147483647,1,3196,85226.66666666666,172604.60332727214,772575337.0,21571803.60332727
0.1,0.1,7050.706232743333,6699,0,2147483647,1,44581,1188826.6666666665,984417.1001925219,772575337.0,292450697.10019255
0.1,0.1,7050.706232743333,6699,0,2147483647,1,6319,168506.66666666663,12359.705537555448,772575337.0,42320043.70553756
0.1,0.1,7050.706232743333,6699,0,2147483647,1,36912,984319.9999999999,1599834.6306639244,772575337.0,245728813.63066393
0.1,0.1,7050.706232743333,6699,0,2147483647,1,10899,290639.99999999994,-266800.5301379757,772575337.0,72703983.46986203
0.1,0.1,7050.706232743333,6699,0,2147483647,1,9617,256453.33333333328,91551.1306314473,772575337.0,64479345.13063145
0.1,0.1,7050.706232743333,6699,0,2147483647,1,21563,575013.3333333333,-2748819.4682307397,772575337.0,141617444.53176925
0.1,0.1,7050.706232743333,6699,0,2147483647,1,19013,507013.33333333326,1001677.7915876815,772575337.0,128295691.79158768
0.1,0.1,7050.706232743333,6699,0,2147483647,1,57482,1532853.333333333,-2616597.98039042,772575337.0,364332952.0196096
0.1,0.1,7050.706232743333,6699,0,2147483647,1,1835,48933.33333333333,180238.8810705497,772575337.0,12467542.88107055
0.1,0.1,7050.706232743333,6699,0,2147483647,1,41504,1106773.3333333333,-211323.29718924782,772575337.0,272409191.70281076
0.1,0.1,7050.706232743333,6699,0,2147483647,1,20910,557599.9999999999,-56970.15260969985,772575337.0,139937458.8473903
0.1,0.1,7050.706232743333,6699,0,2147483647,1,33107,882853.3333333333,550310.8904036966,772575337.0,220590517.8904037
0.1,0.1,7050.706232743333,6699,0,2147483647,1,4013,107013.33333333331,65884.40293858456,772575337.0,26934898.402938586
0.1,0.1,7050.706232743333,6699,0,2147483647,1,65572,1748586.6666666665,-553911.5162946874,772575337.0,409431348.48370534
0.1,0.1,7050.706232743333,6699,0,2147483647,1,21031,560826.6666666666,299617.97041708906,772575337.0,141104141.97041708
0.1,0.1,7050.706232743333,6699,0,2147483647,1,28110,749599.9999999999,554071.9220631864,772575337.0,188266580.92206317
0.1,0.1,7050.706232743333,6699,0,2147483647,1,9031,240826.66666666663,120585.05308528178,772575337.0,60585109.05308528
0.1,0.1,7050.706232743333,6699,0,2147483647,1,43218,1152479.9999999998,-356881.95673495106,772575337.0,282766475.04326504
0.1,0.1,7050.706232743333,6699,0,2147483647,1,57857,1542853.333333333,2062734.2306729308,772575337.0,371077034.23067296
0.1,0.1,7050.706232743333,6699,0,2147483647,1,29434,784906.6666666665,201175.83096114887,772575337.0,196550136.83096114
0.1,0.1,7050.706232743333,6699,0,2147483647,1,16634,443573.33333333326,120723.53548466248,772575337.0,111487332.53548466
0.1,0.1,7050.706232743333,6699,0,2147483647,1,65856,1756159.9999999998,-356953.65598922723,772575337.0,411070962.3440108
0.1,0.1,7050.706232743333,6699,0,2147483647,1,524288,13981013.333333332,-20105367.509963747,772575337.0,752469969.4900362
0.1,0.1,7050.706232743333,6699,0,2147483647,1,21411,570959.9999999999,1347462.214061518,772575337.0,144696086.21406153
