epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192589,256785.33333333334,-194465.9004018279,772575337.0,768265985.0995982
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190228,253637.33333333334,-269394.0394266812,772575337.0,767087076.9605733
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,193032,257376.0,-566492.8996620469,772575337.0,768094156.100338
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,191616,255488.0,-62253.40275362455,772575337.0,767952255.5972464
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,191761,255681.33333333334,-462371.90349649603,772575337.0,767619272.0965035
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,193542,258056.0,-4724.196970090066,772575337.0,768884404.8030299
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190545,254060.0,-329114.859454233,772575337.0,767180144.1405457
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192545,256726.66666666666,62691.811371805234,772575337.0,768503166.8113718
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190285,253713.33333333334,492471.68206315214,772575337.0,767876416.6820631
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190224,253632.0,-59783.21339362695,772575337.0,767294759.7866064
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190075,253433.33333333334,634566.12915558,772575337.0,767917291.1291556
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190426,253901.33333333334,-52767.930175783615,772575337.0,767399139.0698242
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,194852,259802.66666666666,121312.25486412011,772575337.0,769593365.2548641
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190758,254344.0,-259287.25653088742,772575337.0,767351350.7434691
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190006,253341.33333333334,134180.15390645905,772575337.0,767383647.1539065
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190017,253356.0,-92777.27300535873,772575337.0,767161991.7269946
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,194832,259776.0,121127.23718129662,772575337.0,769584380.2371813
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,193147,257529.33333333334,-98913.49172335361,772575337.0,768613255.5082767
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,191248,254997.33333333334,-246911.1645547498,772575337.0,767596351.8354453
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190584,254112.0,-44826.80015343216,772575337.0,767483113.1998466
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192530,256706.66666666666,179742.69209135536,772575337.0,768613407.6920913
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,191523,255364.0,200818.61838334083,772575337.0,768172268.6183833
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,191048,254730.66666666666,-159326.93137784812,772575337.0,767589061.0686221
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192516,256688.0,-258692.11475757262,772575337.0,768168616.8852425
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192512,256682.66666666666,325910.7056036639,772575337.0,768751403.7056037
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190085,253446.66666666666,199385.2213562789,772575337.0,767486930.2213563
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190160,253546.66666666666,468150.2982337187,772575337.0,767791845.2982337
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192528,256704.0,-248476.5644090382,772575337.0,768184280.435591
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190326,253768.0,460156.6953377993,772575337.0,767863863.6953378
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190256,253674.66666666666,-539891.2897525595,772575337.0,766830075.7102474
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190001,253334.66666666666,29098.869235227994,772575337.0,767276149.8692353
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190749,254332.0,18605.25788806694,772575337.0,767624968.2578881
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,193658,258210.66666666666,185247.55994872833,772575337.0,769126344.5599487
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190535,254046.66666666666,96582.53382267484,772575337.0,767601027.5338227
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,193032,257376.0,420592.6969178485,772575337.0,769081241.6969179
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190750,254333.33333333334,-556639.9645417402,772575337.0,767050198.0354582
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190329,253772.0,-49007.6960513308,772575337.0,767356145.3039486
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190002,253336.0,397140.77581855474,772575337.0,767644675.7758186
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190010,253346.66666666666,739732.4269768975,772575337.0,767991127.4269769
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190272,253696.0,-132884.97155383285,772575337.0,767244794.0284462
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190011,253348.0,-308268.04957000125,772575337.0,766943608.95043
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190165,253553.33333333334,252197.7690278261,772575337.0,767578302.7690278
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,194698,259597.33333333334,152355.54284393476,772575337.0,769556408.5428439
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190084,253445.33333333334,126150.53476991369,772575337.0,767413213.5347699
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,192536,256714.66666666666,-96076.69578441305,772575337.0,768340312.3042156
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190217,253622.66666666666,98756.61168843282,772575337.0,767449925.6116884
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190144,253525.33333333334,-128884.16001147362,772575337.0,767187098.8399885
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190344,253792.0,-10270.935646195798,772575337.0,767402112.0643538
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190295,253726.66666666666,36748.659687760315,772575337.0,767425513.6596878
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190305,253740.0,142268.2255914048,772575337.0,767535853.2255914
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,187903,250537.33333333334,254605.29076725483,772575337.0,766010650.2907673
2,0.01,498.1265087904029,6699,0,2147483647,6200.873491209597,190008,253344.0,403667.9970212328,772575337.0,767654098.9970212
