epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,114856558592,153142078122.66666,129269710255.51315,781899455983281,432197867190974.5
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,140392186241,187189581654.66666,104947924519.89366,781899455983281,461431904120928.9
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,171802890241,229070520321.33334,-90520731059.02187,781899455983281,492052986134064.0
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,142552223897,190069631862.66666,-148757245275.72012,781899455983281,463472059523460.25
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,123933278207,165244370942.66666,-147539501545.0943,781899455983281,442767528746694.9
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,210456543233,280608724310.6667,-801026640693.5063,781899455983281,522735787201157.5
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,155483505185,207311340246.66666,97800781547.17476,781899455983281,476874245084986.2
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,137691175026,183588233368.0,347532179826.8065,781899455983281,458764322466498.8
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,133054452621,177405936828.0,40170582846.033615,781899455983281,453365855617598.06
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,137446272467,183261696622.66666,119648433596.04514,781899455983281,458270858616313.06
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,120158383872,160211178496.0,-113778877290.93677,781899455983281,438348201191078.06
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,111652323184,148869764245.33334,-157825514035.54797,781899455983281,427945187251863.44
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,138747614727,184996819636.0,28199157426.540108,781899455983281,459586967986292.56
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,132893489255,177191319006.66666,-75764124204.8839,781899455983281,453070768684189.1
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,135272703524,180363604698.66666,-94835483759.87749,781899455983281,455686641335000.1
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,142975788109,190634384145.33334,113386009180.64154,781899455983281,464179465467886.6
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,128364543351,171152724468.0,-363904738344.3936,781899455983281,447667327008768.6
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,124553526784,166071369045.33334,132787207065.82635,781899455983281,443772276367066.8
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,119171972992,158895963989.33334,-129192179764.16925,781899455983281,437156266221822.8
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,118108449280,157477932373.33334,44672022977.4283,781899455983281,436058351095535.44
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,140711892082,187615856109.33334,-219415008142.73877,781899455983281,461449306732295.25
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,123987817975,165317090633.33334,-187145619424.01962,781899455983281,442791679617608.0
2,0.01,1101.6638283014101,8225871,0,9223372036854775807,8224769.336171699,131690481616,175587308821.33334,251998521738.42917,781899455983281,452056356207464.44
