epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh_mean,b_mean,noise_mean,mae,mse,rmse,mre
0.1,0.001,12823.160430658318,55500.0,0.0,2147483647.0,42676.83956934169,38930.96,1038158.9333333332,141553.74223793653,71622640.49776205,5390259859678762.0,73418389.11116725,0.04720075870357106
0.25,0.001,5129.264172263326,55500.0,0.0,2147483647.0,50370.735827736666,45646.19,486892.69333333336,-96883.67081614964,11789525.560816135,144302736003525.9,12012607.377398377,0.0077695341495131465
0.5,0.001,2564.632086131663,55500.0,0.0,2147483647.0,52935.36791386834,47888.02,255402.77333333332,47021.59494021739,3193561.815059781,10632844793125.156,3260804.31690176,0.0021046213821491987
1.0,0.001,1282.3160430658315,55500.0,0.0,2147483647.0,54217.68395693415,49126.42,131003.78666666668,24080.032834846377,953102.7071651554,964593362525.7725,982137.1403860932,0.0006281138280852482
2.0,0.001,641.1580215329158,55500.0,0.0,2147483647.0,54858.84197846708,49896.82,66529.09333333332,11948.550267681077,327710.55741175177,121307850473.97963,348292.76546316553,0.00021596783974319112
0.1,0.01,9962.530175808057,55500.0,0.0,2147483647.0,45537.46982419195,41447.24,1105259.7333333332,53758.45089939176,43289820.42910061,1965472312184744.2,44333647.63004217,0.028528861184037812
0.25,0.01,3985.0120703232237,55500.0,0.0,2147483647.0,51514.98792967677,46662.94,497738.02666666656,7786.7779805308255,7201994.982019458,55532680110401.98,7452025.235491489,0.004746259352742682
0.5,0.01,1992.506035161612,55500.0,0.0,2147483647.0,53507.4939648384,48430.53,258296.16,14590.747520939798,2033062.2124790596,4383554710249.889,2093694.0345355836,0.0013398288342018174
1.0,0.01,996.2530175808059,55500.0,0.0,2147483647.0,54503.746982419194,59610.38,158961.01333333337,11610.416014675426,635585.1998438191,451960927484.2375,672280.3934997937,0.00041886341308969874
2.0,0.01,498.12650879040297,55500.0,0.0,2147483647.0,55001.873491209604,50128.5,66838.0,-21588.603620417154,254233.1436204195,74421350372.30196,272802.76826363395,0.0001675447481840983
0.1,0.1,7050.706232743333,55500.0,0.0,2147483647.0,48449.29376725667,797545.27,21267873.86666666,17738933.492868647,41264128.1488968,3.1038703768518788e+16,176178045.6484825,0.02719388928323818
0.25,0.1,2820.2824930973347,55500.0,0.0,2147483647.0,52679.717506902634,6799180.78,72524594.98666666,-65032564.196930744,127803973.54745014,9.81910870338623e+17,990914158.9152024,0.08422538564407248
0.5,0.1,1410.1412465486674,55500.0,0.0,2147483647.0,54089.858753451335,10788856.06,57540565.65333333,469081.81859303697,1518352.740668254,18191235759685.31,4265118.493041583,0.0010006249538011293
1.0,0.1,705.0706232743337,55500.0,0.0,2147483647.0,54794.9293767257,16852553.27,44940142.05333333,-14839304.863437602,15250741.677065358,1.806751002599653e+16,134415438.19813454,0.0100505450922624
2.0,0.1,352.53531163716684,55500.0,0.0,2147483647.0,55147.464688362816,18983361.86,25311149.14666666,-4860097.188418232,17184054.469632193,7686360145020141.0,87671889.13796794,0.01132463705517077
