epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh_mean,b_mean,noise_mean,mae,mse,rmse,mre
0.1,0.001,12823.160430658318,6699.0,0.0,2147483647.0,1.0,13448832.43,358635531.46666664,-38801920.10464961,671821473.8278778,8.41033669885842e+17,917078878.7698919,0.7699294781097826
0.25,0.001,5129.264172263326,6699.0,0.0,2147483647.0,1569.7358277366748,67043.26,715128.1066666667,-51779.61922042916,357702157.9592204,1.3083315196827013e+17,361708656.1975952,0.4099384234134277
0.5,0.001,2564.632086131663,6699.0,0.0,2147483647.0,4134.367913868337,135522.8,722788.2666666666,-79127.8457605874,94234456.86576055,9079496809308244.0,95286393.62106347,0.10799578313747434
1.0,0.001,1282.3160430658315,6699.0,0.0,2147483647.0,5416.683956934167,172260.53,459361.4133333333,-19562.88576676576,23295915.065766767,560848401359942.6,23682238.098624516,0.026697883928120666
2.0,0.001,641.1580215329158,6699.0,0.0,2147483647.0,6057.841978467083,189584.41,252779.2133333333,34380.96269283388,5599756.3173071705,31810756561741.51,5640102.531137312,0.0064175046896921065
0.1,0.01,9962.530175808057,6699.0,0.0,2147483647.0,1.0,19837854.54,529009454.3999999,153226080.51064083,680371592.7808819,1.1226801132473701e+18,1059566002.3081951,0.7797281952983757
0.25,0.01,3985.0120703232237,6699.0,0.0,2147483647.0,2713.9879296767763,96428.47,1028570.3466666666,-163994.08518138717,225992604.22518134,5.4422785534295416e+16,233286916.7662332,0.25899494822093666
0.5,0.01,1992.506035161612,6699.0,0.0,2147483647.0,4706.493964838388,150790.55,804216.2666666667,143344.49071954653,59553113.64928045,3776779002215291.5,61455504.24669292,0.06824982454125958
1.0,0.01,996.2530175808059,6699.0,0.0,2147483647.0,5702.746982419193,180856.69,482284.50666666665,-28762.646856115345,13117451.946856113,184691362685654.4,13590120.039412985,0.015033030834856288
2.0,0.01,498.12650879040297,6699.0,0.0,2147483647.0,6200.873491209596,10926681.47,14568908.626666665,-27030568.198249735,31769980.598249737,7.288936250255614e+16,269980300.2119898,0.03640944139846773
0.1,0.1,7050.706232743333,6699.0,0.0,2147483647.0,1.0,10816832.41,288448864.26666665,313716624.55898917,1260161511.1007977,2.890024320860029e+19,5375894642.624639,1.4441864875912689
0.25,0.1,2820.2824930973347,6699.0,0.0,2147483647.0,3878.717506902665,2931977.6,31274427.733333334,-27070147.059484646,138398786.45235467,8.837850452803718e+16,297285224.2006608,0.15860955562666185
0.5,0.1,1410.1412465486674,6699.0,0.0,2147483647.0,5288.858753451334,172220.52,918509.44,-51698.03092239369,29395151.77950413,948513725862036.0,30797950.026942313,0.03368780955988002
1.0,0.1,705.0706232743337,6699.0,0.0,2147483647.0,5993.929376725668,12993286.7,34648764.53333333,68031025.78615998,76494756.93312511,2.3760621591666576e+17,487448680.29020834,0.0876655042716674
2.0,0.1,352.53531163716684,6699.0,0.0,2147483647.0,6346.464688362829,9917998.81,13223998.413333332,3456087.490136148,7977242.436948018,954696197875363.4,30898158.486799233,0.009142181882397184
