epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh_mean,b_mean,noise_mean,mae,mse,rmse,mre
0.1,0.001,27847.00229820127,8225871.0,0.0,9.223372036854776e+18,8198023.997701797,1048463897.39,27959037263.73333,3851665398.361466,665809813284509.0,4.4330821849506496e+29,665813951862729.4,0.851528573190219
0.25,0.001,11138.800919280511,8225871.0,0.0,9.223372036854776e+18,8214732.199080719,3472969514.17,37045008151.14666,584668341.7197124,626866297916648.0,3.929887377391218e+29,626888138138792.5,0.8017222840449496
0.5,0.001,5569.400459640256,8225871.0,0.0,9.223372036854776e+18,8220301.5995403575,10120750303.91,53977334954.18667,-180829366.7463059,578626527579213.6,3.348827679320009e+29,578690563195911.1,0.740026673696674
1.0,0.001,2784.700229820128,8225871.0,0.0,9.223372036854776e+18,8223086.29977018,33017194308.4,88045851489.06667,9742754125.933985,493715490592220.2,2.4384237706935852e+29,493803986485891.5,0.6314308363704675
2.0,0.001,1392.350114910064,8225871.0,0.0,9.223372036854776e+18,8224478.649885088,94819724719.21,126426299625.61334,-1915894852.4160132,376313478790845.2,1.418306664336234e+29,376604124291839.6,0.4812811005086332
0.1,0.01,22033.27656602821,8225871.0,0.0,9.223372036854776e+18,8203837.723433971,1390414365.64,37077716417.06667,-1445261392.5289621,657496189998898.6,4.3231612084909036e+29,657507506306270.5,0.8408959756628351
0.25,0.01,8813.310626411281,8225871.0,0.0,9.223372036854776e+18,8217057.689373588,5030335504.07,53656912043.41333,-4694497906.894947,612338625699439.8,3.750263966433122e+29,612393988085539.8,0.783142311584243
0.5,0.01,4406.655313205641,8225871.0,0.0,9.223372036854776e+18,8221464.34468679,15412645104.2,82200773889.06667,-15484918329.06967,554482432334413.1,3.077807832020471e+29,554779941239810.06,0.7091479053688954
1.0,0.01,2203.3276566028203,8225871.0,0.0,9.223372036854776e+18,8223667.6723433975,400543827379.3,1068116873011.4666,768722024497.0361,450725538499772.9,2.0484489619264333e+29,452597940994701.56,0.5764494109898313
2.0,0.01,1101.66382830141,8225871.0,0.0,9.223372036854776e+18,8224769.3361717025,133756168955.24,178341558606.98663,-4753101117.137228,329201426263889.44,1.0893952624899343e+29,330059882822789.3,0.4210277698008166
0.1,0.1,16113.732091974178,8225871.0,0.0,9.223372036854776e+18,8209757.267908021,1.1889509796747596e+16,3.170535945799359e+17,5.134801551317712e+16,7.644307461618483e+16,4.192898304020777e+35,6.475259302932028e+17,97.76584988599149
0.25,0.1,6445.492836789672,8225871.0,0.0,9.223372036854776e+18,8219425.507163209,11667783446.4,124456356761.59998,-62560493859.218796,584100050793778.4,3.4302617372751646e+29,585684363567541.8,0.7470269631490466
0.5,0.1,3222.746418394836,8225871.0,0.0,9.223372036854776e+18,8222648.253581605,2845830185255.75,15177760988030.67,21457002843506.766,522505642981072.3,3.0165945370742267e+29,549235335450499.44,0.6682516174651016
1.0,0.1,1611.373209197418,8225871.0,0.0,9.223372036854776e+18,8224259.626790804,5764865109980348.0,1.5372973626614256e+16,4.052575993780319e+16,4.0916698636403544e+16,1.6422871443212924e+35,4.052514212586172e+17,52.32986554768993
2.0,0.1,805.686604598709,8225871.0,0.0,9.223372036854776e+18,8225065.3133954,2933519259770792.5,3911359013027723.0,3230454583216336.0,3483293072570877.0,1.0321740843013041e+33,3.2127466197963764e+16,4.454911178700498
